MPROG;PURPM;Country;RLABO;STATN;MYEAR;DATE;Latitude;Longitude;Species;SEXCO;NOINP;DEPHU;DEPHL;MATRX;NODIS;PARGROUP;PARAM;BASIS;QFLAG;Value;MUNIT;VFLAG;DETLI;LMQNT;UNCRT;METCU;ALABO;REFSK;METST;METPT;METPS;METFP;METCX;METOA;FORML;Test Organism;SMTYP;FINFL;SUBNO;BULKID;tblAnalysisID;tblParamID;tblSampleID
COMB;;Lithuania;MRLT;K41;2007;09/08/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;HG;W;<~Q;0.04;ug/l;;;0.04;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288642;318577
COMB;;Lithuania;MRLT;K41;2007;09/08/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;4.83;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288644;318577
COMB;;Lithuania;MRLT;K41;2007;09/08/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;PB;W;<~Q;1.33;ug/l;;;1.33;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288643;318577
COMB;;Lithuania;MRLT;K41;2007;09/08/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.08;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288645;318577
COMB;;Lithuania;MRLT;K23;2007;09/08/2007;55.71833333;21.06166667;;;;1;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.21;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288675;318582
COMB;;Lithuania;MRLT;K23;2007;09/08/2007;55.71833333;21.06166667;;;;1;;BF;;I-MET;HG;W;<~Q;0.04;ug/l;;;0.04;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288672;318582
COMB;;Lithuania;MRLT;K23;2007;09/08/2007;55.71833333;21.06166667;;;;1;;BF;;I-MET;CR;W;<~Q;2.69;ug/l;;;2.69;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288677;318582
COMB;;Lithuania;MRLT;K23;2007;09/08/2007;55.71833333;21.06166667;;;;1;;BF;;I-MET;PB;W;<~Q;1.33;ug/l;;;1.33;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288673;318582
COMB;;Lithuania;MRLT;K23;2007;09/08/2007;55.71833333;21.06166667;;;;1;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;4.83;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288674;318582
COMB;;Lithuania;MRLT;K23;2007;09/08/2007;55.71833333;21.06166667;;;;1;;BF;;I-MET;ZN;W;<~Q;51.5;ug/l;;;51.5;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288676;318582
