MPROG;PURPM;Country;RLABO;STATN;MYEAR;DATE;Latitude;Longitude;Species;SEXCO;NOINP;DEPHU;DEPHL;MATRX;NODIS;PARGROUP;PARAM;BASIS;QFLAG;Value;MUNIT;VFLAG;DETLI;LMQNT;UNCRT;METCU;ALABO;REFSK;METST;METPT;METPS;METFP;METCX;METOA;FORML;Test Organism;SMTYP;FINFL;SUBNO;BULKID;tblAnalysisID;tblParamID;tblSampleID
COMB;T;Germany;IFOG;OMBMPK5;2005;12/02/2005;54.9245;13.49533333;;;;35.5;;AF;;I-MET;CU;W;;0.446;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318472;319693
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPK7;2005;12/02/2005;54.99983333;13.29916667;;;;35.5;;BF;;I-MET;CU;W;;44440;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310631;319729
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPK7;2005;12/02/2005;54.99983333;13.29916667;;;;35.5;;AF;;I-MET;CU;W;;0.478;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318436;319729
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPK7;2005;12/02/2005;54.99983333;13.29916667;;;;35.5;;AF;;I-MET;CU;W;;0.478;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318435;319729
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPK7;2005;12/02/2005;54.99983333;13.29916667;;;;35.5;;BF;;I-MET;CU;W;;44440;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310632;319729
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPK2;2005;13/02/2005;55.255;15.98166667;;;;15.5;;BF;;I-MET;CU;W;;31830;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310650;319820
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPK2;2005;13/02/2005;55.255;15.98166667;;;;15.5;;BF;;I-MET;CU;W;;31830;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310649;319820
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPK2;2005;13/02/2005;55.255;15.98166667;;;;15.5;;AF;;I-MET;CU;W;;0.405;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318427;319820
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPK2;2005;13/02/2005;55.255;15.98166667;;;;15.5;;AF;;I-MET;CU;W;;0.405;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318428;319820
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPK2;2005;13/02/2005;55.255;15.98166667;;;;60.5;;AF;;I-MET;CU;W;;0.263;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318418;319827
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPK2;2005;13/02/2005;55.255;15.98166667;;;;60.5;;AF;;I-MET;CU;W;;0.263;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318417;319827
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPK2;2005;13/02/2005;55.255;15.98166667;;;;60.5;;BF;;I-MET;CU;W;;33190;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310661;319827
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPK2;2005;13/02/2005;55.255;15.98166667;;;;60.5;;BF;;I-MET;CU;W;;33190;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310662;319827
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPK1;2005;14/02/2005;55.55666667;18.40166667;;;;10.5;;BF;;I-MET;CU;W;;40710;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310682;319913
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPK1;2005;14/02/2005;55.55666667;18.40166667;;;;10.5;;AF;;I-MET;CU;W;;0.448;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318395;319913
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPK1;2005;14/02/2005;55.55666667;18.40166667;;;;10.5;;BF;;I-MET;CU;W;;40710;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310681;319913
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPK1;2005;14/02/2005;55.55666667;18.40166667;;;;10.5;;AF;;I-MET;CU;W;;0.448;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318396;319913
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OM253;2005;14/02/2005;55.83866667;18.866;;;;5.5;;BF;;I-MET;CU;W;;28210;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310697;319945
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OM253;2005;14/02/2005;55.83866667;18.866;;;;5.5;;AF;;I-MET;CU;W;;0.473;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318380;319945
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OM253;2005;14/02/2005;55.83866667;18.866;;;;5.5;;AF;;I-MET;CU;W;;0.473;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318379;319945
