Metal;Strain;Local;Species;EC05n;SE_EC05n;95L_EC05n;95H_EC05n;EC50n;SE_EC50n;95L_EC50n;95H_EC50n;EC95n;SE_EC95n;95L_EC95n;95H_EC95n;EC05a;SE_EC05a;95L_EC05a;95H_EC05a;EC50a;SE_EC50a;95L_EC50a;95H_EC50a;EC95a;SE_EC95a;95L_EC95a;95H_EC95a;Respons_Range
Cd;TB_GP2-4_13;GP;TB;2.99363;0.17911;2.62116;3.36611;3.83403;0.13664;3.54986;4.1182;5.95392;0.57628;4.75549;7.15235;2.150794517;0.128682839;1.883190827;2.418405391;2.718820877;0.096895352;2.517307762;2.920333992;4.151654528;0.4018387;3.315992084;4.987316972;1.988863019
Co;TB_GP2-4_13;GP;TB;12.4187;4.6287;2.7928;22.0446;38.8873;4.7569;28.9948;48.7799;121.77;36.24;46.404;197.136;7.97704401;2.973205215;1.793930807;14.16015721;24.71313979;3.023041833;18.42638974;30.99995339;77.119871;22.951664;29.38876976;124.8509722;9.805374153
Cu;TB_GP2-4_13;GP;TB;2.8975;0.33657;2.19756;3.59744;3.12753;0.26728;2.57168;3.68338;3.26478;0.30749;2.62532;3.90424;10.46439375;1.215530977;7.936542926;12.99224457;11.18726303;0.956068099;9.198971897;13.17555415;11.61857115;1.094283365;9.342885956;13.89425634;1.12675755
Ni;TB_GP2-4_13;GP;TB;3.6821;1.2821;1.0158;6.3485;14.2562;1.4491;11.2428;17.2697;55.196;15.342;23.29;87.103;2.16315992;0.753208043;0.596762132;3.729616456;7.82241824;0.795125368;6.16895693;9.47593442;29.7333992;8.264544723;12.54603354;46.92130355;14.99035876
Pb;TB_GP2-4_13;GP;TB;32.9203;3.7432;24.985;40.8556;54.2776;1.5503;50.9912;57.564;71.895;4.0359;63.3393;80.4508;17.81144456;2.025248837;13.51807068;22.10481844;29.24187152;0.835218827;27.47133475;31.01240829;38.670704;2.170819866;34.06878534;43.27267645;2.183910839
Zn;TB_GP2-4_13;GP;TB;17.5825;3.0454;11.2492;23.9157;18.411;2.8505;12.483;24.339;19.2786;3.1701;12.686;25.8712;9.87394475;1.710229566;6.317302959;13.43053038;10.2022793;1.579577271;6.917334881;13.48722372;10.54610918;1.734162269;6.939712482;14.15250588;1.096465235
Ag;TB_GP2-4_16;GP;TB;53.666;13.707;25.161;82.171;364.849;24.906;313.054;416.644;1071.69;136.01;788.83;1354.54;0.013527233;0.003455033;0.006342167;0.0207123;0.09138522;0.006238308;0.078411915;0.104358525;0.268236838;0.034042393;0.197438872;0.339032301;19.96962695
Cd;TB_GP2-4_16;GP;TB;2.87529;0.24737;2.36086;3.38973;4.20374;0.15775;3.87569;4.53179;8.2615;1.0505;6.0769;10.4461;2.070808511;0.178157995;1.700311614;2.44131261;2.968707866;0.111404051;2.737036874;3.200378858;5.71134785;0.726232635;4.20108815;7.22160755;2.873275391
Co;TB_GP2-4_16;GP;TB;2.72347;1.70705;-0.82654;6.27349;27.584;4.7256;17.7565;37.4115;279.377;142.648;-17.276;576.03;1.846750081;1.157528714;-0.560466174;4.253973117;17.5660632;3.009360073;11.30770741;23.82441899;176.7747771;90.26000137;-10.93132595;364.4808801;102.5812658
Cu;TB_GP2-4_16;GP;TB;2.66981;0.20176;2.25023;3.0894;2.9371;0.31293;2.28632;3.58787;3.09894;0.64391;1.75986;4.43802;9.748877925;0.736731681;8.216771071;11.28102129;10.58883675;1.128175644;8.242643845;12.9349936;11.09741895;2.305865566;6.30212386;15.89271404;1.160734284
Ni;TB_GP2-4_16;GP;TB;3.24118;0.36536;2.48137;4.00098;14.36041;0.55548;13.20522;15.5156;63.6255;6.5804;49.9409;77.3101;1.927179536;0.217240115;1.475402627;2.378950499;7.878191432;0.304739055;7.244448526;8.511934338;34.2448676;3.541739189;26.8794667;41.6102685;19.63035067
Pb;TB_GP2-4_16;GP;TB;7.4213;1.9263;3.3377;11.5048;58.834;2.685;53.142;64.526;188.41;21.415;143.013;233.807;4.16437976;1.08092177;1.872913145;6.455790261;31.6804568;1.445797099;28.61547465;34.74543895;101.029532;11.48318788;76.68667512;125.3723889;25.3877353
Zn;TB_GP2-4_16;GP;TB;6.258;1.9443;2.2147;10.3014;15.4547;1.1786;13.0036;17.9058;38.167;12.33;12.525;63.808;5.3860454;1.673392149;1.906116131;8.866060736;9.03069761;0.688695361;7.598437979;10.46295724;18.0315821;5.82517377;5.91729939;30.14539237;6.098913391
Ag;TB_GP2-4_9;GP;TB;15.394;4.7052;5.6089;25.1791;256.81;20.767;213.623;299.997;1249.46;194.64;844.69;1654.24;0.003951579;0.001207806;0.001439782;0.006463375;0.064353862;0.00520399;0.053531658;0.075176066;0.312714892;0.048714506;0.211409042;0.414023244;81.16538911
Cd;TB_GP2-4_9;GP;TB;2.25096;0.57844;1.06196;3.43996;5.16702;0.34775;4.45221;5.88184;22.65548;10.7762;0.50469;44.80628;1.648823864;0.423706186;0.777883654;2.519764074;3.619788818;0.243618481;3.119024113;4.120560528;15.44023893;7.34423207;0.343958026;30.53652665;10.0648079
Co;TB_GP2-4_9;GP;TB;0.52014;0.36634;-0.2417;1.28198;20.2152;4.4792;10.9003;29.5301;785.66;451.96;-154.24;1725.57;0.453584522;0.319464286;-0.210772828;1.117941872;12.90677096;2.859828668;6.95949956;18.85404236;496.897518;285.8460431;-97.55043298;1091.351794;1510.477948
Cu;TB_GP2-4_9;GP;TB;2.47006;0.10263;2.25663;2.68349;2.932632;0.055251;2.817731;3.047533;3.22974;0.14949;2.91885;3.54062;9.12116355;0.378980679;8.333032923;9.909294177;10.57479606;0.199229926;10.16047383;10.98911829;11.50845795;0.532674264;10.40067079;12.61620947;1.307555282
Ni;TB_GP2-4_9;GP;TB;0.36467;0.24265;-0.14972;0.87906;12.6731;2.004;8.4247;16.9214;440.42;292.64;-179.94;1060.78;0.387671384;0.257955031;-0.159163517;0.934506285;6.97514312;1.102980866;4.636867715;9.313363486;235.905284;156.7488359;-96.38253668;568.1931047;NA
Pb;TB_GP2-4_9;GP;TB;0.42802;1.30658;-2.34181;3.19785;58.178;15.21;25.935;90.421;920.49;1377.48;-1999.63;3840.61;0.421576304;1.286909881;-2.306554844;3.149707452;31.3293656;8.190719014;13.96622601;48.69250519;492.838748;737.5153653;-1070.620154;2056.29765;2150.577076
Zn;TB_GP2-4_9;GP;TB;3.40238;0.86148;1.61083;5.19393;12.1446;0.7513;10.5822;13.707;43.349;10.623;21.257;65.441;4.254363194;1.07720149;2.01419473;6.494531658;7.71890498;0.477513735;6.725869628;8.711940332;20.0852087;4.922032158;9.849161026;30.32125637;12.74078733
