Metal;Strain;Local;Species;EC;Conc;SE;95L;95H;Respons_Range
Ag;TB_GP2-4_13;GP;TB;EC95;0.224672014;0.05438516;0.111571306;0.337770219;43.34164849
Cd;TB_GP2-4_13;GP;TB;EC95;4.151654528;0.4018387;3.315992084;4.987316972;1.988863019
Co;TB_GP2-4_13;GP;TB;EC95;77.119871;22.951664;29.38876976;124.8509722;9.805374153
Cu;TB_GP2-4_13;GP;TB;EC95;11.61857115;1.094283365;9.342885956;13.89425634;1.12675755
Ni;TB_GP2-4_13;GP;TB;EC95;29.7333992;8.264544723;12.54603354;46.92130355;14.99035876
Pb;TB_GP2-4_13;GP;TB;EC95;38.670704;2.170819866;34.06878534;43.27267645;2.183910839
Zn;TB_GP2-4_13;GP;TB;EC95;10.54610918;1.734162269;6.939712482;14.15250588;1.096465235
Ag;TB_GP2-4_16;GP;TB;EC95;0.268236838;0.034042393;0.197438872;0.339032301;19.96962695
Cd;TB_GP2-4_16;GP;TB;EC95;5.71134785;0.726232635;4.20108815;7.22160755;2.873275391
Co;TB_GP2-4_16;GP;TB;EC95;176.7747771;90.26000137;-10.93132595;364.4808801;102.5812658
Cu;TB_GP2-4_16;GP;TB;EC95;11.09741895;2.305865566;6.30212386;15.89271404;1.160734284
Ni;TB_GP2-4_16;GP;TB;EC95;34.2448676;3.541739189;26.8794667;41.6102685;19.63035067
Pb;TB_GP2-4_16;GP;TB;EC95;101.029532;11.48318788;76.68667512;125.3723889;25.3877353
Zn;TB_GP2-4_16;GP;TB;EC95;18.0315821;5.82517377;5.91729939;30.14539237;6.098913391
Ag;TB_GP2-4_9;GP;TB;EC95;0.312714892;0.048714506;0.211409042;0.414023244;81.16538911
Cd;TB_GP2-4_9;GP;TB;EC95;15.44023893;7.34423207;0.343958026;30.53652665;10.0648079
Co;TB_GP2-4_9;GP;TB;EC95;496.897518;285.8460431;-97.55043298;1091.351794;1510.477948
Cu;TB_GP2-4_9;GP;TB;EC95;11.50845795;0.532674264;10.40067079;12.61620947;1.307555282
Ni;TB_GP2-4_9;GP;TB;EC95;235.905284;156.7488359;-96.38253668;568.1931047;NA
Pb;TB_GP2-4_9;GP;TB;EC95;492.838748;737.5153653;-1070.620154;2056.29765;2150.577076
Zn;TB_GP2-4_9;GP;TB;EC95;20.0852087;4.922032158;9.849161026;30.32125637;12.74078733
