Metal;Strain;Local;Species;EC05n;SE_EC05n;95L_EC05n;95H_EC05n;EC50n;SE_EC50n;95L_EC50n;95H_EC50n;EC95n;SE_EC95n;95L_EC95n;95H_EC95n;EC05a;SE_EC05a;95L_EC05a;95H_EC05a;EC50a;SE_EC50a;95L_EC50a;95H_EC50a;EC95a;SE_EC95a;95L_EC95a;95H_EC95a;Respons_Range
Cu;SM_VG1-2_14;VG;SM;2.233891;0.049898;2.130122;2.337661;2.851002;0.017934;2.813707;2.888298;3.270023;0.047347;3.171561;3.368486;8.379002468;0.187160191;7.989779937;8.768228748;10.31827379;0.064906276;10.18329667;10.45325452;11.63504728;0.168465049;11.28471028;11.98538783;1.463823884
Ni;SM_VG1-2_14;VG;SM;6.42379;0.57436;5.22935;7.61823;15.63314;0.48193;14.6309;16.63538;38.0453;3.1414;31.5125;44.5781;3.630512408;0.324609165;2.955454655;4.305570161;8.559356528;0.263863222;8.010616512;9.108096544;20.55434456;1.697172003;17.02493561;24.08375351;5.922562848
Pb;SM_VG1-2_14;VG;SM;30.34;5.598;18.698;41.981;71.6062;3.5516;64.2201;78.9922;116.039;11.437;92.254;139.824;16.430468;3.031567563;10.12580391;22.73459054;38.51613824;1.910364138;34.54324136;42.48898133;62.2965728;6.140055525;49.52738327;75.06576233;3.824620962
Zn;SM_VG1-2_14;VG;SM;6.3151;0.1957;5.9081;6.7221;10.5484;0.11493;10.3094;10.7874;17.6196;0.5227;16.5326;18.7066;5.40867413;0.167610573;5.060092101;5.757256159;7.08633092;0.077209057;6.925772628;7.246889212;9.88864748;0.293354902;9.278590509;10.49870445;2.790074583
Ag;SM_VG1-2_19;VG;SM;29.067;6.454;15.645;42.489;105.9055;6.4902;92.4084;119.4026;219.071;22.094;173.124;265.017;0.007372563;0.001636995;0.003968203;0.010776924;0.026597556;0.001629976;0.023207837;0.029987275;0.054911564;0.005538004;0.043394651;0.066428227;7.5367599
Cd;SM_VG1-2_19;VG;SM;7.59271;0.38205;6.8074;8.37803;12.69172;0.34909;11.97415;13.40929;31.6534;3.4689;24.5229;38.7838;5.259312689;0.264638109;4.715344745;5.80328756;8.705733548;0.239454111;8.213524988;9.197942108;21.52193306;2.358591292;16.67372896;26.37006917;4.168919925
Co;SM_VG1-2_19;VG;SM;5.0592;0.85391;3.28341;6.83499;31.897;2.0258;27.6841;36.1099;201.103;35.943;126.355;275.85;3.32363216;0.560974608;2.157030177;4.490234143;20.2931731;1.288833121;17.61288627;22.97345993;127.2821269;22.74904644;79.97261674;174.5910041;39.74996047
Cu;SM_VG1-2_19;VG;SM;2.249093;0.064654;2.114636;2.383549;2.960625;0.027957;2.902485;3.018765;3.455354;0.054374;3.342276;3.568432;8.426774753;0.242241959;7.922998851;8.930546907;10.66276406;0.100687826;10.45337142;10.87215671;12.21744995;0.192255735;11.81762845;12.61727144;1.536332201
Ni;SM_VG1-2_19;VG;SM;5.15543;0.27698;4.56825;5.74261;14.29442;0.28864;13.68254;14.9063;39.634;2.129;35.121;44.147;2.951686136;0.158581927;2.615502527;3.287869745;7.842873584;0.158367183;7.507155346;8.178591822;21.4046168;1.149781227;18.96733983;23.84189377;7.687816535
Pb;SM_VG1-2_19;VG;SM;35.7561;2.5866;30.2728;41.2394;96.208;2.025;91.915;100.501;167.827;10.122;146.37;189.284;19.32916472;1.39827379;16.36498214;22.2933473;51.6830216;1.087831768;49.37681825;53.98922495;90.0135104;5.428904481;78.50511251;101.5219083;4.693660662
Zn;SM_VG1-2_19;VG;SM;11.57157;0.61591;10.29072;12.85243;17.40043;0.27723;16.82391;17.97696;26.165;1.456;23.138;29.193;7.491813191;0.398760295;6.662548975;8.321083881;9.801790409;0.156165701;9.477032446;10.12655401;13.2751895;0.738722565;11.73939746;14.8114889;2.261145203
Ag;SM_VG1-2_20;VG;SM;18.1816;3.0761;11.7846;24.5786;89.0486;4.4009;79.8964;98.2009;217.53;18.353;179.363;255.696;0.004649036;0.000786559;0.003013323;0.00628475;0.02237996;0.001106047;0.020079802;0.024680143;0.054526006;0.004600358;0.044959077;0.064092684;11.96429357
Cd;SM_VG1-2_20;VG;SM;7.59929;0.37532;6.81876;8.37982;15.23695;0.44077;14.32032;16.15359;52.5205;6.3442;39.327;65.714;5.263760111;0.259970924;4.723114514;5.804405708;10.42605451;0.301601833;9.798840112;11.05327574;35.62600595;4.30343403;26.67651557;44.57549633;6.91123776
Co;SM_VG1-2_20;VG;SM;7.56918;0.35612;6.82859;8.30977;32.33375;0.60531;31.07495;33.59256;138.122;6.634;124.326;151.918;4.910692514;0.231041648;4.430216456;5.391168572;20.56933013;0.385071983;19.76853613;21.37013048;87.4592406;4.200667541;78.72357443;96.19490677;18.2479476
Cu;SM_VG1-2_20;VG;SM;2.37942;0.06136;2.25181;2.50702;3.00211;0.030517;2.938647;3.065573;3.421216;0.051843;3.313403;3.529029;8.83632735;0.227869416;8.362428781;9.310188783;10.79313068;0.109714157;10.56496966;11.02129169;12.11017128;0.183510076;11.72854267;12.49179989;1.437836111
Ni;SM_VG1-2_20;VG;SM;5.11216;0.23714;4.619;5.60532;12.12819;0.22195;11.66662;12.58976;28.7732;1.3442;25.9778;31.5685;2.928528032;0.13584691;2.646018704;3.21103736;6.683507288;0.122310455;6.429148933;6.937865643;15.59191664;0.728408879;14.07711663;17.10666247;5.628384088
